Region,Date,Daily_Min_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Date
CanadaWest,8/14/1981,54.5,79.2,77.8,55.4,14-Aug
CanadaWest,8/15/1981,57.2,81.1,79.6,56.3,15-Aug
CanadaWest,8/16/1981,57.1,78.4,78.7,56.8,16-Aug
CanadaWest,8/17/1981,56.2,76.6,78.7,56.6,17-Aug
CanadaWest,8/18/1981,56.4,81,79,56.2,18-Aug
CanadaWest,8/19/1981,56.1,79.3,77,57.3,19-Aug
CanadaWest,8/20/1981,59.5,70.6,74.4,56.6,20-Aug
CanadaWest,8/21/1981,54.2,73.2,73.4,56.4,21-Aug
CanadaWest,8/22/1981,55.5,76.3,76,54.9,22-Aug
CanadaWest,8/23/1981,54.9,78.4,76.6,55.7,23-Aug
CanadaWest,8/24/1981,56.7,75,76.1,56.4,24-Aug
CanadaWest,8/25/1981,57.7,74.8,76,56.8,25-Aug
CanadaWest,8/26/1981,55.8,78.3,76.6,57.4,26-Aug
CanadaWest,8/27/1981,58.8,76.7,75.2,55.4,27-Aug
CanadaWest,8/28/1981,51.8,70.4,70.2,55.1,28-Aug
CanadaWest,8/29/1981,54.6,63.4,65.1,52.2,29-Aug
CanadaWest,8/30/1981,50.3,61.3,62.7,50.9,30-Aug
CanadaWest,8/31/1981,47.6,63.5,64.3,50,31-Aug
CanadaWest,9/1/1981,52.1,68,63.5,49.2,1-Sep
CanadaWest,9/2/1981,47.9,58.9,63.8,48.1,2-Sep
CanadaWest,9/3/1981,44.2,64.6,61.6,47.8,3-Sep
CanadaWest,9/4/1981,51.2,61.2,64.3,49,4-Sep
CanadaWest,9/5/1981,51.7,67.1,66.5,50.5,5-Sep
CanadaWest,9/6/1981,48.7,71.2,73,50.9,6-Sep
CanadaWest,9/7/1981,52.2,80.5,77.6,51.7,7-Sep
CanadaWest,9/8/1981,54.2,80.9,78.5,53.4,8-Sep
CanadaWest,9/9/1981,53.9,74,74.7,53.8,9-Sep
CanadaWest,9/10/1981,53.4,69.1,71.2,52.1,10-Sep
CanadaWest,9/11/1981,49.1,70.5,68.2,51,11-Sep
CanadaWest,9/12/1981,50.6,65,66.8,49.9,12-Sep
CanadaWest,9/13/1981,50,64.7,66.5,49.3,13-Sep
CanadaWest,9/14/1981,47.4,69.8,70.2,48,14-Sep
CanadaWest,9/15/1981,46.6,76.1,75.3,48.3,15-Sep
CanadaWest,9/16/1981,50.8,80,78.3,49.9,16-Sep
CanadaWest,9/17/1981,52.4,78.8,79,51.8,17-Sep
CanadaWest,9/18/1981,52.3,78.1,74.2,51.9,18-Sep
CanadaWest,9/19/1981,51.1,65.6,67.8,50.6,19-Sep
CanadaWest,9/20/1981,48.4,59.7,62,48.6,20-Sep
CanadaWest,9/21/1981,46.4,60.7,59.3,47.2,21-Sep
CanadaWest,9/22/1981,47,57.6,58,46.6,22-Sep
CanadaWest,9/23/1981,46.4,55.8,56.4,45.9,23-Sep
CanadaWest,9/24/1981,44.3,55.8,55.4,43.3,24-Sep
CanadaWest,9/25/1981,39.3,54.7,56.8,41.5,25-Sep
CanadaWest,9/26/1981,40.9,59.9,55.8,40.1,26-Sep
CanadaWest,9/27/1981,40.2,52.8,57.1,41.4,27-Sep
CanadaWest,9/28/1981,43.1,58.6,56.5,41.6,28-Sep
CanadaWest,9/29/1981,41.6,58.1,58.4,42.6,29-Sep
